userName,score,at,content
Djoni Karim,5,2026-05-03 14:17:46,aplikasi bagus fan membantu terutama mencari lokasi SPBU
Andri,5,2026-05-03 12:42:57,sangat memudahkan d saat tidak membawa uang tunai n bisa kumpul kan poin
Erik P,5,2026-05-03 12:31:28,Bagusss
Didi Wibawa,2,2026-05-03 11:14:45,Ribet aplikasinya
Ruly Megawati,5,2026-05-03 11:10:49,ok
Udo Pendi,5,2026-05-03 05:12:07,bacode terblokir
Lubang Kanciang,1,2026-05-03 04:16:32,"aplikasi sampah, bisa"" nya foto mobil kendaraan ngga sesuai...dan bisa juga datanya mobil roda 10 tapi foto mobil nya LCGC jebol..kan tolol yang buat aplikasi ini"
Arizal Taufik Ivan M,1,2026-05-03 03:34:35,"sekarang foto harus langsung, gak bisa lewat galery lagi"
RONI RAGIL S,3,2026-05-03 03:29:19,Nunggu verifikasi aja lama bgt
Mr.Ryman99,1,2026-05-03 02:42:05,"Aplikasinya ga jelas udah nunggu 14 hari malah ditolak verifikasinya,pdahal udah bagus semuanya,fotonya dan lain lain,dan kenapa harus nunggu 14 hari"
afen official,1,2026-05-03 01:06:13,"aneh aplikasinya, data tidak ditemukan"
Fahim Huzair,1,2026-05-02 23:32:41,"udah beberapa kali gagal , foto udah bener STNK juga udah masih aja gagal hadehh payah"
agus D,1,2026-05-02 23:21:59,Ada2 aja. Bikin ribet👎👎👎. susah login...
Nursalim Nanung,5,2026-05-02 22:38:55,"sangat membantu masyarakat yang membutuhkan subsidi yang tepat untuk kelancaran dan mengembangkan usahanya, program ini diharapkan untuk tetap dipertahankan pemerintah siapapun yang memimpin negara ini."
Alam Setiawansyah,5,2026-05-02 21:56:59,aplikasi ini cukup membantu
Wawan Henk,1,2026-05-02 17:28:11,Untuk Area kota palopo Error terus kalau di tanya bisa bayar pake apk mypertamina atau karna saya pakai motor jadi tidak bisa?
Robi Kusbiandi,5,2026-05-02 14:08:56,mudahhh
Ari Kurniawan,1,2026-05-02 12:28:09,"sdh pernah punya qr dan di print, tp rusak pas masuk data yg sebelumnya tdk ada, bikin qr baru susah nya minta ampun, gagal verifikasi ktp keterangan bukan foto ktp langsung tp dr layar, padahal jelas2 foto bbrp kali sampai yg ad tangan nya jg ttp gagal verifikasi dgn ketrangan bukan diambil dr ktp asli, emang ga niat ngasih subsidi buat masyarakat, payah....."
sword shield,1,2026-05-02 12:08:26,mau masukkan metode pembayaran selalu gagal. Email CS jg lambat respon
geraldi suryaputra,1,2026-05-02 11:32:17,"tolong ini kenapa setiap verifikasi data kendaraan selalu gagal yah, padahal sudah berkali"" di foto tetap gagal terus. alasannya selalu nomor kendaraan berbeda."
Badru Dhezta,4,2026-05-02 09:31:20,baik
Aji Fernandez,2,2026-05-02 08:14:03,"daftar subsidi tepat jangan dipersulit min... mau buat barcode pertalite, sistem masuknya dipersulit...."
Nato Ilusi,1,2026-05-02 08:06:47,kga kenal mobil apa gimana. poto kendaraan doang ribet nya ngulang trus. udah jlas nopol sama merek mobil juga bentuknya bgitu depan samping. ribet bgt
Ratu M,4,2026-05-02 07:53:01,min. saya salah kirim email. kode perifikasinya ke kirim email yg salah jadinya. gimna min solusinya?
Muntashor Amin,3,2026-05-02 05:51:20,kenapa kok tidak bisa laporan viaa video call. ???
Frans Toding,5,2026-05-02 05:40:00,5 binrang
ngoprek channel,5,2026-05-02 05:25:22,Sukses dan jaya
Joni Achmad Saputra,5,2026-05-02 02:50:56,"terima kasih.,,"
Ahmad Maisuri,5,2026-05-02 01:15:02,mohon aplikasi barkote nya jangan di bikin susah bikin nya sih kan mau beli BBM. bukan korupsi. in BBM.
Sies Wandoyo,5,2026-05-02 01:10:05,blm dapat barcode
Ayuk Sukma,4,2026-05-02 00:13:15,ok
suryadi zakaria,1,2026-05-01 12:58:29,"sudah registrasi, tp setelah verifikasi berhasil malah ket yg muncul ""barcode anda di blokir"". pertamina ga jelas.."
poltak suadiman,5,2026-05-01 10:52:10,Chrome ada untuk apa saja Chrome membantu MyPertamina mewujudkan subsidi tepat. Terima kasih Chrome.
eddy wamese,5,2026-05-01 07:27:33,sangat membantu dalam pengisian BBM
Ian Budi,5,2026-05-01 06:23:26,"Alhamdulillah sudah dapat digunakan kembali🙏🏻 terima kasih, buat mbak ² operator terimakasih 🙏🏻 layanannya baik meski berulang kali telpon karena kendala jaringan dan kendala pulsa tetap sabar🙏🏻"
Bagus Mustofa,1,2026-05-01 06:09:48,aplikasi ribet
AR raven,1,2026-05-01 05:57:46,"gak jelas, sudah lama pakai tiba2 data bisa hilang semua"
